__time,/odrive_axis0/odrive_status/active_errors,/odrive_axis0/odrive_status/bus_current,/odrive_axis0/odrive_status/bus_voltage,/odrive_axis0/odrive_status/disarm_reason,/odrive_axis0/odrive_status/fet_temperature,/odrive_axis0/odrive_status/motor_temperature,/odrive_axis1/odrive_status/active_errors,/odrive_axis1/odrive_status/bus_current,/odrive_axis1/odrive_status/bus_voltage,/odrive_axis1/odrive_status/disarm_reason,/odrive_axis1/odrive_status/fet_temperature,/odrive_axis1/odrive_status/motor_temperature,/odrive_axis2/odrive_status/active_errors,/odrive_axis2/odrive_status/bus_current,/odrive_axis2/odrive_status/bus_voltage,/odrive_axis2/odrive_status/disarm_reason,/odrive_axis2/odrive_status/fet_temperature,/odrive_axis2/odrive_status/motor_temperature,/odrive_axis3/odrive_status/active_errors,/odrive_axis3/odrive_status/bus_current,/odrive_axis3/odrive_status/bus_voltage,/odrive_axis3/odrive_status/disarm_reason,/odrive_axis3/odrive_status/fet_temperature,/odrive_axis3/odrive_status/motor_temperature,/odrive_axis4/odrive_status/active_errors,/odrive_axis4/odrive_status/bus_current,/odrive_axis4/odrive_status/bus_voltage,/odrive_axis4/odrive_status/disarm_reason,/odrive_axis4/odrive_status/fet_temperature,/odrive_axis4/odrive_status/motor_temperature,/odrive_axis5/odrive_status/active_errors,/odrive_axis5/odrive_status/bus_current,/odrive_axis5/odrive_status/bus_voltage,/odrive_axis5/odrive_status/disarm_reason,/odrive_axis5/odrive_status/fet_temperature,/odrive_axis5/odrive_status/motor_temperature
1766087224.121869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134217728.000000000,0.000000000,26.578729630,256.000000000,24.628814697,22.414581299
1766087224.221789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134217728.000000000,0.000000000,25.952810287,256.000000000,24.629302979,22.414581299
1766087224.321748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134217728.000000000,0.000000000,25.945957184,256.000000000,24.632019043,22.414581299
1766087224.421778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134217728.000000000,0.000000000,25.948242188,256.000000000,24.631256104,22.414581299
1766087224.521750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134217728.000000000,0.000000000,25.950527191,256.000000000,24.631683350,22.414581299
1766087224.621806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134217728.000000000,0.000000000,25.941389084,256.000000000,24.633178711,22.414581299
1766087224.721777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134217728.000000000,0.000000000,25.950527191,256.000000000,24.631713867,22.414581299
1766087224.820757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134217728.000000000,0.000000000,25.936820984,256.000000000,24.630767822,22.414581299
1766087224.920779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134217728.000000000,0.000000000,25.955095291,256.000000000,24.630889893,22.414581299
1766087225.020737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134217728.000000000,0.000000000,25.964233398,256.000000000,24.632141113,22.414581299
